intensity/q,density/k,velocity/u
4.767143598,0.5,9.534287196
4.767143598,0.5,9.534287196
4.767143598,0.5,9.534287196
3.230068716,0.34,9.500202106
4.154854536,0.125,33.23883629
3.617296218,0.5,7.234592436
3.710206368,0.36,10.3061288
6.508225476,0.5,13.01645095
6.508225494,0.5,13.01645099
7.530874524,0.5,15.06174905
12.40218635,0.855,14.50548112
9.953543304,0.72,13.8243657
6.53517027,0.5,13.07034054
4.099953096,0.5,8.199906192
3.528729306,0.5,7.057458612
7.386569298,0.79,9.350087719
10.12743997,1,10.12743997
10.22657953,0.985,10.38231424
13.82322431,0.94,14.70555777
12.33127694,1,12.33127694
15.67369593,1.42,11.03781404
15.58106449,1.01,15.42679653
11.7482872,1,11.7482872
9.263786094,0.98,9.452842953
7.002787716,0.64,10.94185581
5.52061602,0.485,11.38271344
0.341296506,0.02,17.0648253
7.955617194,0.5,15.91123439
3.977808606,0.5,7.955617212
6.361402644,0.5,12.72280529
7.06822515,0.5,14.1364503
5.038917228,0.5,10.07783446
10.84976761,0.655,16.5645307
7.665976944,0.5,15.33195389
3.944285748,0.5,7.888571496
7.261250454,0.5,14.52250091
5.341944168,0.5,10.68388834
3.073920714,0.5,6.147841428
5.88933639,0.495,11.89764927
7.23046401,0.5,14.46092802
4.612031964,0.5,9.224063928
6.61949172,0.5,13.23898344
5.42397807,0.5,10.84795614
3.4541325,0.5,6.908265
5.890152384,0.36,16.3615344
0,0.055,0
2.752469028,0.26,10.58641934
5.318292114,0.5,10.63658423
5.318292132,0.5,10.63658426
5.266625742,0.5,10.53325148
10.0238413,0.965,10.38740031
10.35218905,1,10.35218905
11.98897823,0.925,12.96105754
5.34392019,0.5,10.68784038
10.43750992,0.955,10.92932975
12.95368513,1,12.95368513
17.30940856,1.345,12.86944874
15.24156349,1.07,14.24445186
12.61728848,0.875,14.41975826
4.621933224,0.75,6.162577632
4.843719,0.825,5.871174545
9.407601162,0.765,12.29751786
12.39104309,1,12.39104309
12.39104309,1,12.39104309
7.338488796,0.575,12.76258921
9.598565772,0.87,11.03283422
8.692255494,1,8.692255494
12.55092575,0.81,15.49497007
11.17412357,1,11.17412357
3.5848485,1,3.5848485
12.64000927,1,12.64000927
9.68810094,1,9.68810094
5.633056926,0.505,11.15456817
5.473092582,0.5,10.94618516
5.335955478,0.5,10.67191096
5.629337496,0.505,11.14720296
15.5612578,0.5,31.12251559
7.621994412,0.5,15.24398882
3.616441542,0.5,7.232883084
3.61644156,0.5,7.23288312
4.63575726,0.485,9.558262392
5.151976038,0.5,10.30395208
5.293735164,0.5,10.58747033
6.767152128,0.625,10.8274434
11.08740809,1,11.08740809
19.75650244,0.975,20.26307943
5.138620506,0.5,10.27724101
2.986309422,0.5,5.972618844
7.234067826,0.5,14.46813565
4.858038756,0.445,10.91694102
2.946733236,0.26,11.33358937
5.655418686,0.5,11.31083737
5.655418704,0.5,11.31083741
15.51094213,0.5,31.02188425
2.588206212,0.595,4.349926407
7.286903838,1,7.286903838
8.249517216,0.725,11.37864444
5.418333972,0.5,10.83666794
7.699066038,0.7,10.99866577
11.18093949,1,11.18093949
12.15491508,1,12.15491508
7.97800608,0.61,13.07869849
12.29277694,0.895,13.7349463
10.47788919,1,10.47788919
10.48162478,0.82,12.78246925
6.138736776,0.5,12.27747355
6.611982984,0.5,13.22396597
5.672588652,0.45,12.60575256
3.639733038,0.44,8.272120541
7.682056974,0.625,12.29129116
10.39348962,1,10.39348962
11.22201742,1,11.22201742
14.49009142,1,14.49009142
9.45933138,1,9.45933138
10.50265795,0.94,11.17304037
8.465973444,0.715,11.8405223
5.802794136,0.5,11.60558827
18.30037127,0.5,36.60074255
2.07924273,0.5,4.15848546
2.079242712,0.5,4.158485424
2.079242712,0.5,4.158485424
1.803755196,0.255,7.073549788
2.721928518,0.295,9.226876332
4.486667112,0.5,8.973334224
4.43393793,0.5,8.86787586
2.438434872,0.5,4.876869744
4.959867258,0.5,9.919734516
5.93421174,0.5,11.86842348
5.646120894,0.5,11.29224179
5.31929583,0.5,10.63859166
0.059535846,0.005,11.9071692
2.604968892,0.375,6.946583712
4.018738392,0.5,8.037476784
7.842141342,0.5,15.68428268
5.068105182,0.5,10.13621036
9.286797834,0.885,10.49355687
9.130349196,1,9.130349196
9.130349214,1,9.130349214
10.24067387,1.095,9.352213578
11.97538697,0.785,15.25527002
12.43285378,1,12.43285378
21.6308266,1.105,19.57540869
